id,icao_code,name,latitude,longitude
1926,CYTZ,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202
1928,CYUL,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294
1930,CYUX,Hall Beach Airport,68.7761,-81.2425
1931,CYUY,Rouyn Noranda Airport,48.20610046,-78.83560181
1932,CYVB,Bonaventure Airport,48.071098,-65.460297
1933,CYVC,La Ronge Airport,55.15140152,-105.262001
1934,CYVD,Virden / RJ (Bob) Andrew Field Regional Aerodrome,49.8783,-100.917999
1936,CYVK,Vernon Regional Airport,50.246163,-119.330963
1938,CYVO,Val-d'Or Airport,48.05329895,-77.78279877
1939,CYVP,Kuujjuaq Airport,58.09609985,-68.42690277
1940,CYVQ,Norman Wells Airport,65.28160095,-126.7979965
1941,CYVR,Vancouver International Airport,49.19390106,-123.1839981
1943,CYVV,Wiarton Airport,44.7458,-81.107201
1946,CYWG,Winnipeg / James Armstrong Richardson International Airport,49.90999985,-97.23989868
1949,CYWK,Wabush Airport,52.9219017,-66.86440277
1950,CYWL,Williams Lake Airport,52.18310165,-122.0540009
1954,CYWY,Wrigley Airport,63.20940018,-123.4369965
1955,CYXC,Cranbrook/Canadian Rockies International Airport,49.6108017,-115.7819977
1957,CYXE,Saskatoon John G. Diefenbaker International Airport,52.17079926,-106.6999969
1958,CYXH,Medicine Hat Regional Airport,50.018902,-110.721001
1959,CYXJ,Fort St John / North Peace Regional Airport,56.238098,-120.739998
1960,CYXK,Rimouski Airport,48.477644,-68.496323
1961,CYXL,Sioux Lookout Airport,50.11389923,-91.90529633
1964,CYXQ,Beaver Creek Airport,62.41030121,-140.8670044
1965,CYXR,Earlton (Timiskaming Regional) Airport,47.69740065,-79.84734535
1966,CYXS,Prince George Airport,53.884311,-122.666554
1967,CYXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009
1968,CYXU,London Airport,43.035599,-81.1539
1969,CYXX,Abbotsford International Airport,49.025299,-122.361
1970,CYXY,Whitehorse / Erik Nielsen International Airport,60.709599,-135.067001
1971,CYXZ,Wawa Airport,47.96670151,-84.78669739
1972,CYYB,North Bay Jack Garland Airport,46.363602,-79.422798
1973,CYYC,Calgary International Airport,51.118822,-114.009933
1974,CYYD,Smithers Airport,54.8246994,-127.1829987
1975,CYYE,Fort Nelson Airport,58.83639908,-122.5970001
1976,CYYF,Penticton Airport,49.46310043,-119.6019974
1977,CYYG,Charlottetown Airport,46.29000092,-63.12110138
1979,CYYJ,Victoria International Airport,48.647201,-123.427792
1980,CYYL,Lynn Lake Airport,56.86389923,-101.0759964
1982,CYYN,Swift Current Airport,50.29190063,-107.6910019
1984,CYYQ,Churchill Airport,58.73920059,-94.06500244
1985,CYYR,Goose Bay Airport,53.31919861,-60.42580032
1986,CYYT,St. John's International Airport,47.618599,-52.7519
1987,CYYU,Kapuskasing Airport,49.411587,-82.469645
1988,CYYW,Armstrong Airport,50.29029846,-88.90969849
1989,CYYY,Mont Joli Airport,48.60860062,-68.20809937
1990,CYYZ,Toronto Lester B. Pearson International Airport,43.6772,-79.6306
1992,CYZE,Gore Bay Manitoulin Airport,45.8853,-82.567802
1993,CYZF,Yellowknife International Airport,62.462799,-114.440002
1995,CYZH,Slave Lake Airport,55.292945,-114.777276
1996,CYZP,Sandspit Airport,53.25429916,-131.8139954
1997,CYZR,Chris Hadfield Airport,42.999401,-82.308899
1998,CYZS,Coral Harbour Airport,64.19329834,-83.35939789
1999,CYZT,Port Hardy Airport,50.68059921,-127.3669968
2000,CYZU,Whitecourt Airport,54.143902,-115.787003
2001,CYZV,Sept-Îles Airport,50.22330093,-66.26560211
2002,CYZW,Teslin Airport,60.17279816,-132.7429962
2003,CYZX,CFB Greenwood,44.9844017,-64.91690063
2004,CYZY,Mackenzie Airport,55.297786,-123.133907
2006,CZAM,Shuswap Regional Airport,50.682802,-119.228996
2008,CZBB,Boundary Bay Airport,49.0742,-123.012001
2010,CZBF,Bathurst Airport,47.6297,-65.738899
2011,CZBM,Bromont (Roland Désourdy) Airport,45.290798,-72.741402
2012,CZEE,Kelsey Airport,56.03749847,-96.50969696
2014,CZFA,Faro Airport,62.20750046,-133.3760071
2019,CZGF,Grand Forks Airport,49.015598,-118.431
2023,CZJG,Jenpeg Airport,54.51890182,-98.0460968
2024,CZJN,Swan River Airport,52.120602,-101.236
2026,CZLQ,Thicket Portage Airport,55.31890106,-97.70780182
